IP,Port,Banner,Timestamp,Hostnames,Country,City,Operating System,Organization
193.104.215.64,80,"HTTP/1.1 200 OK
Server: Apache
X-Adobe-Content: WCMS
Cache-Control: max-age=900
Expires: Tue, 01 Nov 2016 17:40:34 GMT
X-dynaTrace-JS-Agent: true
X-dynaTrace: PT=4793751;PA=-119215020;SP=prod;PS=170337423
X-Adobe-Loc: da1
Content-Type: text/html; charset=UTF-8
Vary: Accept-Encoding
Date: Tue, 01 Nov 2016 17:25:34 GMT
Transfer-Encoding:  chunked
Connection: keep-alive
Connection: Transfer-Encoding
Set-Cookie: dtCookie=50F2B453DB5622C788F9FB479276194A|QWRvYmUrZUNvbW1lcmNlfDE; Path=/; Domain=.adobe.com

",2016-11-01T17:25:52.207454,fpdownload-du1.adobe.com,Europe,,,Level 3 Communications
192.150.8.252,4500,"VPN (IKE NAT-T)

Initiator SPI: e5f858a0876af576
Responder SPI: 120c24799832e9dc
Next Payload: Security Association (SA)
Version: 1.0
Exchange Type: Identity Protection
Flags:
    Encryption:     False
    Commit:         False
    Authentication: False
Message ID: 00000000
Length: 80",2016-11-01T11:55:35.346213,,Europe,,,Level 3 Communications
193.104.215.101,80,"HTTP/1.1 403 Forbidden
Server: nginx
Date: Tue, 01 Nov 2016 02:31:13 GMT
Content-Type: text/html;charset=UTF-8
Transfer-Encoding: chunked
Connection: keep-alive

",2016-11-01T02:31:18.616676,devedge.day.com,Europe,,,Level 3 Communications
193.105.140.4,4500,"VPN (IKE NAT-T)

Initiator SPI: e5f858a0876af576
Responder SPI: bcc5baa73f0a89d2
Next Payload: Security Association (SA)
Version: 1.0
Exchange Type: Identity Protection
Flags:
    Encryption:     False
    Commit:         False
    Authentication: False
Message ID: 00000000
Length: 108",2016-11-01T00:57:48.928042,,Romania,,,Adobe Systems Software Ireland Limited
192.150.8.127,4500,"VPN (IKE NAT-T)

Initiator SPI: e5f858a0876af576
Responder SPI: a00cef2dacd79d40
Next Payload: Security Association (SA)
Version: 1.0
Exchange Type: Identity Protection
Flags:
    Encryption:     False
    Commit:         False
    Authentication: False
Message ID: 00000000
Length: 108",2016-10-31T23:30:47.130446,asa-dublin-1.adobe.com,Europe,,,Level 3 Communications
193.104.215.90,80,"HTTP/1.1 200 OK
Date: Mon, 31 Oct 2016 22:53:55 GMT
Server: Apache
Accept-Ranges: bytes
Pragma: no-cache
Cache-control: no-cache
Transfer-Encoding: chunked
Content-Type: text/html; charset=UTF-8

",2016-10-31T22:53:59.044037,,Europe,,,Level 3 Communications
192.150.8.128,500,"VPN (IKE)

Initiator SPI: e5f858a0876af576
Responder SPI: 2c1873097dbf10a6
Next Payload: Security Association (SA)
Version: 1.0
Exchange Type: Identity Protection
Flags:
    Encryption:     False
    Commit:         False
    Authentication: False
Message ID: 00000000
Length: 104",2016-10-31T21:32:38.417184,asa-test-1.adobe.com,Europe,,PIX OS 7.0.x,Level 3 Communications
193.104.215.70,80,"HTTP/1.1 403 Forbidden
Date: Mon, 31 Oct 2016 19:41:57 GMT
Server: Apache
Content-Length: 202
Content-Type: text/html; charset=iso-8859-1

",2016-10-31T19:42:03.962512,,Europe,,,Level 3 Communications
193.104.215.81,443,"HTTP/1.0 307 Temporary Redirect
date: Mon, 31 Oct 2016 17:03:15 GMT
connection: close
location: https://licensing.adobe.com/licensing
content-type: text/html

",2016-10-31T17:03:28.425409,,Europe,,,Level 3 Communications
193.104.215.90,443,"HTTP/1.0 302 Found
Location: http://unavailable.adobe.com/accessdenied.html
Server: BigIP
Connection: Keep-Alive
Content-Length: 0

",2016-10-31T15:33:01.474681,,Europe,,,Level 3 Communications
193.104.215.69,80,"HTTP/1.1 403 Forbidden
Date: Mon, 31 Oct 2016 03:13:45 GMT
Server: Apache
Content-Length: 202
Content-Type: text/html; charset=iso-8859-1

",2016-10-31T03:13:47.119093,,Europe,,Linux 2.6.x,Level 3 Communications
193.104.215.79,8080,"HTTP/1.1 200 OK
Date: Mon, 31 Oct 2016 03:09:50 GMT
Server: Apache/2.4.12 (Win64)
Last-Modified: Mon, 11 Jun 2007 19:53:14 GMT
ETag: ""2e-432a6bb3ade80""
Accept-Ranges: bytes
Content-Length: 46
Content-Type: text/html

",2016-10-31T03:09:53.487930,,Europe,,Windows 7 or 8,Level 3 Communications
193.104.215.96,443,"HTTP/1.1 301 Moved Permanently
Date: Sun, 30 Oct 2016 23:39:58 GMT
Server: Apache
Cache-Control: no-store, no-cache
Location: http://www.adobe.com/
Content-Length: 229
Content-Type: text/html; charset=iso-8859-1

",2016-10-30T23:40:12.131752,get3origin-du1.adobe.com,Europe,,,Level 3 Communications
193.104.215.79,443,"HTTP/1.1 200 OK
Date: Wed, 26 Oct 2016 21:19:42 GMT
Server: Apache/2.4.12 (Win64)
Last-Modified: Mon, 11 Jun 2007 19:53:14 GMT
ETag: ""2e-432a6bb3ade80""
Accept-Ranges: bytes
Content-Length: 46
Content-Type: text/html

<html><body><h1>It works!</h1></body></html>
",2016-10-26T21:19:46.216296,,Europe,,,Level 3 Communications
193.104.215.110,80,"HTTP/1.0 302 Found
Location: https://193.104.215.110/
Server: BigIP
Connection: Keep-Alive
Content-Length: 0

",2016-10-26T06:05:34.431256,fileshare-stage-du1-ext-vip.adobe.com,Europe,,,Level 3 Communications
193.104.215.61,80,"HTTP/1.1 200 OK
Date: Wed, 26 Oct 2016 04:11:00 GMT
Server: Apache
X-Adobe-Content: AEM,acom
X-Frame-Options: SAMEORIGIN
Edge-control: !no-store,max-age=15m
Accept-Ranges: bytes
Cache-Control: max-age=900
Expires: Wed, 26 Oct 2016 04:26:00 GMT
X-dynaTrace: PT=4068325;PA=1100138587;SP=prod;PS=170337423
X-Adobe-Loc: du1
Transfer-Encoding: chunked
Content-Type: text/html; charset=UTF-8
Vary: Accept-Encoding

",2016-10-26T04:11:01.830411,www-du1.adobe.com,Europe,,,Level 3 Communications
193.105.139.5,4500,"VPN (IKE NAT-T)

Initiator SPI: e5f858a0876af576
Responder SPI: 8836d6ae70745771
Next Payload: Security Association (SA)
Version: 1.0
Exchange Type: Identity Protection
Flags:
    Encryption:     False
    Commit:         False
    Authentication: False
Message ID: 00000000
Length: 80",2016-10-26T02:41:43.423510,,Germany,,,Adobe Systems Software Ireland Limited
193.104.215.51,443,"HTTP/1.1 301 Moved Permanently
Date: Tue, 25 Oct 2016 22:57:46 GMT
Server: Apache
Location: http://www.adobe.com/
Cache-Control: max-age=900
Expires: Tue, 25 Oct 2016 23:12:46 GMT
Content-Length: 229
Content-Type: text/html; charset=iso-8859-1

",2016-10-25T22:57:59.729287,store1-du1.adobe.com,Europe,,,Level 3 Communications
193.104.215.92,80,"HTTP/1.0 302 Found
Location: https://193.104.215.92/
Server: BigIP
Connection: Keep-Alive
Content-Length: 0

",2016-10-25T12:40:52.868255,,Europe,,,Level 3 Communications
193.105.139.4,500,"VPN (IKE)

Initiator SPI: e5f858a0876af576
Responder SPI: 1566de4738096b95
Next Payload: Security Association (SA)
Version: 1.0
Exchange Type: Identity Protection
Flags:
    Encryption:     False
    Commit:         False
    Authentication: False
Message ID: 00000000
Length: 108",2016-10-25T08:48:03.420012,,Germany,,PIX OS 7.0.x,Adobe Systems Software Ireland Limited
193.104.215.38,443,"HTTP/1.1 302 Found
Date: Tue, 25 Oct 2016 07:46:56 GMT
Server: Apache
Location: http://www.adobe.com/downloads/
Content-Length: 215
Content-Type: text/html; charset=iso-8859-1

",2016-10-25T07:47:09.140781,,Europe,,,Level 3 Communications
193.104.215.86,443,"HTTP/1.1 400 Bad Request
Server: Apache-Coyote/1.1
Transfer-Encoding: chunked
Date: Mon, 24 Oct 2016 20:43:39 GMT
Connection: close

",2016-10-24T20:43:57.279935,signingserviceeu-du1.adobe.com,Europe,,,Level 3 Communications
193.104.215.91,443,"HTTP/1.0 302 Found
Location: http://unavailable.adobe.com/accessdenied.html
Server: BigIP
Connection: Keep-Alive
Content-Length: 0

",2016-10-24T15:17:30.860016,,Europe,,,Level 3 Communications
193.104.215.38,80,"HTTP/1.1 200 OK
Server: Apache
X-Adobe-Content: WCMS
Cache-Control: max-age=900
Expires: Sun, 23 Oct 2016 23:31:16 GMT
X-dynaTrace-JS-Agent: true
X-dynaTrace: PT=4843628;PA=2085247712;SP=prod;PS=170337423
X-Adobe-Loc: da1
Content-Type: text/html; charset=UTF-8
Vary: Accept-Encoding
Date: Sun, 23 Oct 2016 23:16:16 GMT
Transfer-Encoding:  chunked
Connection: keep-alive
Connection: Transfer-Encoding
Set-Cookie: dtCookie=F0DA320C639BFA03D9AD4DD34A3E14CF|QWRvYmUrZUNvbW1lcmNlfDE; Path=/; Domain=.adobe.com

",2016-10-23T23:16:22.883386,,Europe,,,Level 3 Communications
193.105.139.4,443,"HTTP/1.1 200 OK
Content-Type: text/html; charset=utf-8
Transfer-Encoding: chunked
Cache-Control: no-cache
Pragma: no-cache
Connection: Keep-Alive
Date: Sun, 23 Oct 2016 20:53:10 GMT
X-Frame-Options: SAMEORIGIN
Set-Cookie: webvpn=; expires=Thu, 01 Jan 1970 22:00:00 GMT; path=/; secure
Set-Cookie: webvpnc=; expires=Thu, 01 Jan 1970 22:00:00 GMT; path=/; secure
Set-Cookie: webvpn_portal=; expires=Thu, 01 Jan 1970 22:00:00 GMT; path=/; secure
Set-Cookie: webvpnSharePoint=; expires=Thu, 01 Jan 1970 22:00:00 GMT; path=/; secure
Set-Cookie: webvpnlogin=1; path=/; secure

",2016-10-23T20:53:27.021813,,Germany,,,Adobe Systems Software Ireland Limited
192.150.8.127,443,"HTTP/1.1 200 OK
Content-Type: text/html; charset=utf-8
Transfer-Encoding: chunked
Cache-Control: no-cache
Pragma: no-cache
Connection: Keep-Alive
Date: Sun, 23 Oct 2016 20:24:41 GMT
X-Frame-Options: SAMEORIGIN
Set-Cookie: webvpn=; expires=Thu, 01 Jan 1970 22:00:00 GMT; path=/; secure
Set-Cookie: webvpnc=; expires=Thu, 01 Jan 1970 22:00:00 GMT; path=/; secure
Set-Cookie: webvpn_portal=; expires=Thu, 01 Jan 1970 22:00:00 GMT; path=/; secure
Set-Cookie: webvpnSharePoint=; expires=Thu, 01 Jan 1970 22:00:00 GMT; path=/; secure
Set-Cookie: webvpnlogin=1; path=/; secure

",2016-10-23T20:24:56.752223,asa-dublin-1.adobe.com,Europe,,,Level 3 Communications
192.150.8.136,443,"HTTP/1.1 200 OK
Content-Type: text/html; charset=utf-8
Transfer-Encoding: chunked
Cache-Control: no-cache
Pragma: no-cache
Connection: Keep-Alive
Date: Sun, 23 Oct 2016 19:47:59 GMT
X-Frame-Options: SAMEORIGIN
Set-Cookie: webvpn=; expires=Thu, 01 Jan 1970 22:00:00 GMT; path=/; secure
Set-Cookie: webvpnc=; expires=Thu, 01 Jan 1970 22:00:00 GMT; path=/; secure
Set-Cookie: webvpn_portal=; expires=Thu, 01 Jan 1970 22:00:00 GMT; path=/; secure
Set-Cookie: webvpnSharePoint=; expires=Thu, 01 Jan 1970 22:00:00 GMT; path=/; secure
Set-Cookie: webvpnlogin=1; path=/; secure

",2016-10-23T19:48:18.053523,,Europe,,,Level 3 Communications
192.150.8.136,80,"HTTP/1.0 302 Temporary moved
Content-Length: 0
Cache-Control: no-cache
Pragma: no-cache
Connection: Close
Date: Sun, 23 Oct 2016 19:23:18 GMT
X-Frame-Options: SAMEORIGIN
Location: https://asa-dublin-ext.adobe.com/

",2016-10-23T19:23:29.911247,,Europe,,,Level 3 Communications
193.105.139.4,80,"HTTP/1.0 302 Temporary moved
Content-Length: 0
Cache-Control: no-cache
Pragma: no-cache
Connection: Close
Date: Sun, 23 Oct 2016 19:23:09 GMT
X-Frame-Options: SAMEORIGIN
Location: https://asa-hamburg-1.adobe.com/

",2016-10-23T19:23:18.288154,,Germany,,,Adobe Systems Software Ireland Limited
193.104.215.51,80,"HTTP/1.1 200 OK
Server: Apache
X-Adobe-Content: AEM,acom
X-Frame-Options: SAMEORIGIN
X-dynaTrace-JS-Agent: true
X-dynaTrace: PT=1598374;PA=870926216;SP=prod;PS=170337423
X-Adobe-Loc: da1
Content-Type: text/html; charset=UTF-8
Vary: Accept-Encoding
Cache-Control: max-age=585
Expires: Sun, 23 Oct 2016 13:50:45 GMT
Date: Sun, 23 Oct 2016 13:41:00 GMT
Transfer-Encoding:  chunked
Connection: keep-alive
Connection: Transfer-Encoding

",2016-10-23T13:41:03.802442,store1-du1.adobe.com,Europe,,,Level 3 Communications
193.104.215.52,80,"HTTP/1.1 200 OK
Server: Apache
X-Adobe-Content: AEM,acom
X-Frame-Options: SAMEORIGIN
X-dynaTrace-JS-Agent: true
X-dynaTrace: PT=927505;PA=1671464641;SP=prod;PS=170337423
X-Adobe-Loc: da1
Content-Type: text/html; charset=UTF-8
Vary: Accept-Encoding
Cache-Control: max-age=707
Expires: Sun, 23 Oct 2016 11:54:27 GMT
Date: Sun, 23 Oct 2016 11:42:40 GMT
Transfer-Encoding:  chunked
Connection: keep-alive
Connection: Transfer-Encoding

",2016-10-23T11:43:14.233587,store2-du1.adobe.com,Europe,,,Level 3 Communications
193.104.215.65,80,"HTTP/1.1 200 OK
Server: Apache
X-Adobe-Content: WCMS
Cache-Control: max-age=900
Expires: Sun, 23 Oct 2016 10:30:27 GMT
X-dynaTrace-JS-Agent: true
X-dynaTrace: PT=530653;PA=524967707;SP=prod;PS=170337423
X-Adobe-Loc: da1
Content-Type: text/html; charset=UTF-8
Vary: Accept-Encoding
Date: Sun, 23 Oct 2016 10:15:27 GMT
Transfer-Encoding:  chunked
Connection: keep-alive
Connection: Transfer-Encoding
Set-Cookie: dtCookie=56C1FAA78321C8A0A62BD4FF6876368E|QWRvYmUrZUNvbW1lcmNlfDE; Path=/; Domain=.adobe.com

",2016-10-23T10:16:29.528721,mmdownload-du1.adobe.com,Europe,,,Level 3 Communications
192.147.117.5,500,"VPN (IKE)

Initiator SPI: e5f858a0876af576
Responder SPI: c316ead5e6366e44
Next Payload: Security Association (SA)
Version: 1.0
Exchange Type: Identity Protection
Flags:
    Encryption:     False
    Commit:         False
    Authentication: False
Message ID: 00000000
Length: 80",2016-10-23T09:43:04.561498,basel-greha-ext.adobe.com,United States,San Jose,,Adobe Systems Incorporated
193.104.215.81,80,"HTTP/1.0 302 Found
Location: https://193.104.215.81/
Server: BigIP
Connection: Keep-Alive
Content-Length: 0

",2016-10-23T09:35:19.794961,,Europe,,,Level 3 Communications
193.104.215.80,80,"HTTP/1.0 302 Found
Location: https://193.104.215.80/
Server: BigIP
Connection: Keep-Alive
Content-Length: 0

",2016-10-23T09:23:11.979645,licensing-du1.stage.adobe.com,Europe,,,Level 3 Communications
193.104.215.71,80,"HTTP/1.1 403 Forbidden
Date: Sun, 23 Oct 2016 09:15:24 GMT
Server: Apache
Content-Length: 202
Content-Type: text/html; charset=iso-8859-1

",2016-10-23T09:15:27.023279,,Europe,,,Level 3 Communications
193.104.215.82,80,"HTTP/1.0 302 Found
Location: https://193.104.215.82/
Server: BigIP
Connection: Keep-Alive
Content-Length: 0

",2016-10-23T07:29:05.005250,licensing2-du1.stage.adobe.com,Europe,,,Level 3 Communications
193.104.215.109,443,"HTTP/1.1 200 OK
Server: Apache
X-Adobe-Content: AEM,acom
X-Frame-Options: SAMEORIGIN
X-dynaTrace-JS-Agent: true
X-dynaTrace: PT=5020524;PA=626552358;SP=prod;PS=170337423
X-Adobe-Loc: da1
Content-Type: text/html; charset=UTF-8
Vary: Accept-Encoding
Cache-Control: max-age=26
Expires: Sat, 22 Oct 2016 23:23:16 GMT
Date: Sat, 22 Oct 2016 23:22:50 GMT
Transfer-Encoding:  chunked
Connection: keep-alive
Connection: Transfer-Encoding

",2016-10-22T23:23:03.943100,app-cdn-origin-du1--ext-vip.adobe.com,Europe,,,Level 3 Communications
193.104.215.225,443,"HTTP/1.1 200 OK
Date: Sat, 22 Oct 2016 18:38:49 GMT
Server: Apache
X-UA-Compatible: IE=11
X-Adobe-Content: AEM
Accept-Ranges: bytes
Cache-Control: max-age=900
Expires: Sat, 22 Oct 2016 18:53:49 GMT
Transfer-Encoding: chunked
Content-Type: text/html; charset=UTF-8

",2016-10-22T18:39:04.305444,learn-origin-du1.adobe.com,Europe,,,Level 3 Communications
193.104.215.53,80,"HTTP/1.1 200 OK
Date: Sat, 22 Oct 2016 16:27:46 GMT
Server: Apache
X-Adobe-Content: AEM,acom
X-Frame-Options: SAMEORIGIN
Edge-control: !no-store,max-age=15m
Accept-Ranges: bytes
Cache-Control: max-age=900
Expires: Sat, 22 Oct 2016 16:42:46 GMT
X-dynaTrace: PT=1691076;PA=998775120;SP=prod;PS=170337423
X-Adobe-Loc: du1
Transfer-Encoding: chunked
Content-Type: text/html; charset=UTF-8
Vary: Accept-Encoding

",2016-10-22T16:27:50.460477,store3-du1.adobe.com,Europe,,,Level 3 Communications
193.104.215.66,443,"HTTP/1.1 301 Moved Permanently
Date: Sat, 22 Oct 2016 03:14:28 GMT
Server: Apache
Cache-Control: no-store, no-cache
Location: http://www.adobe.com/
Content-Length: 229
Connection: close
Content-Type: text/html; charset=iso-8859-1

",2016-10-22T03:14:35.956354,get-du1.adobe.com,Europe,,,Level 3 Communications
193.105.140.5,4500,"VPN (IKE NAT-T)

Initiator SPI: e5f858a0876af576
Responder SPI: e5f712e508fc40f5
Next Payload: Security Association (SA)
Version: 1.0
Exchange Type: Identity Protection
Flags:
    Encryption:     False
    Commit:         False
    Authentication: False
Message ID: 00000000
Length: 80",2016-10-22T00:27:09.024781,,Romania,,,Adobe Systems Software Ireland Limited
193.104.215.91,80,"HTTP/1.0 302 Found
Location: https://193.104.215.91/
Server: BigIP
Connection: Keep-Alive
Content-Length: 0

",2016-10-21T11:04:08.480444,,Europe,,,Level 3 Communications
192.150.8.129,123,"NTP
Error: Wrong item size",2016-10-21T09:12:42.789309,,Europe,,,Level 3 Communications
