IP,Port,Banner,Timestamp,Hostnames,Country,City,Operating System,Organization
192.150.16.10,4500,"VPN (IKE NAT-T)

Initiator SPI: e5f858a0876af576
Responder SPI: 977987b5d8e61320
Next Payload: Security Association (SA)
Version: 1.0
Exchange Type: Identity Protection
Flags:
    Encryption:     False
    Commit:         False
    Authentication: False
Message ID: 00000000
Length: 80",2016-11-03T04:05:11.336316,,United States,,,Level 3 Communications
192.150.16.163,443,"HTTP/1.1 200 OK
Date: Thu, 03 Nov 2016 03:55:51 GMT
Server: Apache
X-Adobe-Content: AEM,floodgate-pink
X-Frame-Options: SAMEORIGIN
Vary: X-Adobe-SSL
Edge-control: !no-store,max-age=15m
Accept-Ranges: bytes
Cache-Control: max-age=900
Expires: Thu, 03 Nov 2016 04:10:51 GMT
X-dynaTrace: PT=13782565;PA=-1526674535;SP=prod;PS=170337423
X-Adobe-Loc: da1
Transfer-Encoding: chunked
Content-Type: text/html; charset=UTF-8

",2016-11-03T03:55:58.497287,192.150.16.163,United States,,,Level 3 Communications
192.150.16.202,443,"HTTP/1.1 200 OK
Date: Wed, 02 Nov 2016 21:59:54 GMT
Server: Apache
X-Adobe-Content: AEM,floodgate-pink
X-Frame-Options: SAMEORIGIN
Vary: X-Adobe-SSL, Accept-Encoding
Edge-control: !no-store,max-age=15m
Accept-Ranges: bytes
Cache-Control: max-age=900
Expires: Wed, 02 Nov 2016 22:14:54 GMT
X-dynaTrace: PT=9270953;PA=-1959215021;SP=prod;PS=170337423
X-Adobe-Loc: da1
Transfer-Encoding: chunked
Content-Type: text/html; charset=UTF-8

",2016-11-02T22:00:04.618515,,United States,,,Level 3 Communications
192.150.9.29,443,"HTTP/1.1 200 OK
Content-Type: text/html; charset=utf-8
Transfer-Encoding: chunked
Cache-Control: no-cache
Pragma: no-cache
Connection: Keep-Alive
Date: Wed, 02 Nov 2016 18:57:19 GMT
X-Frame-Options: SAMEORIGIN
Set-Cookie: webvpn=; expires=Thu, 01 Jan 1970 22:00:00 GMT; path=/; secure
Set-Cookie: webvpnc=; expires=Thu, 01 Jan 1970 22:00:00 GMT; path=/; secure
Set-Cookie: webvpn_portal=; expires=Thu, 01 Jan 1970 22:00:00 GMT; path=/; secure
Set-Cookie: webvpnSharePoint=; expires=Thu, 01 Jan 1970 22:00:00 GMT; path=/; secure
Set-Cookie: webvpnlogin=1; path=/; secure

",2016-11-02T18:57:28.444627,,United States,Lehi,,Adobe Systems
192.150.16.76,443,"HTTP/1.1 302 Found
Date: Wed, 02 Nov 2016 18:52:28 GMT
Server: Apache
Location: http://www.adobe.com/downloads/
Content-Length: 215
Content-Type: text/html; charset=iso-8859-1

",2016-11-02T18:52:37.573761,,United States,,,Level 3 Communications
192.150.16.92,443,"HTTP/1.1 404 Not Found
Date: Wed, 02 Nov 2016 17:10:39 GMT
Server: Apache
Content-Length: 198
Content-Type: text/html; charset=iso-8859-1

",2016-11-02T17:11:07.572849,learn-redirect.wip.adobe.com,United States,,,Level 3 Communications
192.150.9.30,443,"HTTP/1.1 200 OK
Content-Type: text/html; charset=utf-8
Transfer-Encoding: chunked
Cache-Control: no-cache
Pragma: no-cache
Connection: Keep-Alive
Date: Wed, 02 Nov 2016 16:00:58 GMT
X-Frame-Options: SAMEORIGIN
Set-Cookie: webvpn=; expires=Thu, 01 Jan 1970 22:00:00 GMT; path=/; secure
Set-Cookie: webvpnc=; expires=Thu, 01 Jan 1970 22:00:00 GMT; path=/; secure
Set-Cookie: webvpn_portal=; expires=Thu, 01 Jan 1970 22:00:00 GMT; path=/; secure
Set-Cookie: webvpnSharePoint=; expires=Thu, 01 Jan 1970 22:00:00 GMT; path=/; secure
Set-Cookie: webvpnlogin=1; path=/; secure

",2016-11-02T16:01:11.374951,,United States,Lehi,,Adobe Systems
192.150.16.238,443,"HTTP/1.1 404 Not Found
Server: Apache-Coyote/1.1
Content-Length: 0
Date: Wed, 02 Nov 2016 15:15:52 GMT
Set-Cookie: BIGipServer~WebOps~READERSCERT-HTTP=623408138.62510.0000; path=/

",2016-11-02T15:16:08.112692,,United States,,,Level 3 Communications
192.150.17.141,443,"HTTP/1.1 200 OK
Date: Wed, 02 Nov 2016 13:45:21 GMT
Server: Apache/2.2.15 (Red Hat)
Strict-Transport-Security: max-age=63072000; includeSubDomains
Cache-Control: no-cache
Cache-Control: no-store
Pragma: no-cache
Expires: 0
p3p: CP=""IDC DSP COR ADM DEVi TAIi PSA PSD IVAi IVDi CONi HIS OUR IND CNT""
Content-Length: 296
Connection: close
Content-Type: text/html;charset=UTF-8

",2016-11-02T13:45:41.137207,,United States,,,Level 3 Communications
192.150.17.141,80,"HTTP/1.1 302 Found
Date: Wed, 02 Nov 2016 13:37:20 GMT
Server: Apache/2.2.15 (Red Hat)
Location: https://192.150.17.141/
Content-Length: 288
Connection: close
Content-Type: text/html; charset=iso-8859-1

",2016-11-02T13:37:22.086737,,United States,,,Level 3 Communications
192.150.17.209,443,"HTTP/1.1 500 Internal Server Error
Server: Apache-Coyote/1.1
Content-Type: text/xml;charset=utf-8
Content-Length: 663
Date: Wed, 02 Nov 2016 12:13:03 GMT
Connection: close

",2016-11-02T12:13:14.595615,,United States,,,Level 3 Communications
192.150.16.171,443,"HTTP/1.1 200 OK
Date: Wed, 02 Nov 2016 08:41:16 GMT
Server: Apache
Accept-Ranges: bytes
Transfer-Encoding: chunked
Content-Type: text/html; charset=UTF-8

",2016-11-02T08:41:26.061693,prnext-ext-vip-da1.adobeprerelease.com,United States,,,Level 3 Communications
192.150.16.233,443,"HTTP/1.1 404 Not Found
Date: Wed, 02 Nov 2016 07:26:06 GMT
Server: Bomgar
Expires: Thu, 19 Nov 1981 08:52:00 GMT
Cache-Control: no-store, no-cache, must-revalidate, post-check=0, pre-check=0
Pragma: no-cache
Set-Cookie: ns_s=eab0d2b214dce32cb35cf96fda0680b7ca5e3d0f; path=/; secure; HttpOnly
Strict-Transport-Security: max-age=31536000
X-UA-Compatible: IE=edge
Transfer-Encoding: chunked
Content-Type: text/html; charset=utf-8

",2016-11-02T07:26:31.494307,stagingtraffic-us.rs.adobe.com,United States,,,Level 3 Communications
192.150.16.46,80,"HTTP/1.1 403 Forbidden
Date: Wed, 02 Nov 2016 03:08:10 GMT
Server: Apache
Content-Length: 202
Content-Type: text/html; charset=iso-8859-1

",2016-11-02T03:08:16.154635,,United States,,,Level 3 Communications
192.150.16.41,80,"HTTP/1.1 403 Forbidden
Date: Wed, 02 Nov 2016 00:13:16 GMT
Server: Apache
Content-Length: 202
Content-Type: text/html; charset=iso-8859-1

",2016-11-02T00:13:18.194364,,United States,,Linux 2.6.x,Level 3 Communications
192.150.16.77,443,,2016-11-01T23:43:05.099422,pinger.macromedia.com,United States,,,Level 3 Communications
192.150.9.30,80,"HTTP/1.0 302 Temporary moved
Content-Length: 0
Cache-Control: no-cache
Pragma: no-cache
Connection: Close
Date: Tue, 01 Nov 2016 20:15:02 GMT
X-Frame-Options: SAMEORIGIN
Location: https://192.150.9.30/

",2016-11-01T20:15:08.388938,,United States,Lehi,,Adobe Systems
192.150.16.247,53,9.6-ESV-R7-P2,2016-11-01T18:37:48.698295,da1gtm001.adobe.com,United States,,,Level 3 Communications
192.150.16.227,80,"HTTP/1.1 200 OK
Server: Apache
X-Adobe-Content: AEM,acom
X-Frame-Options: SAMEORIGIN
X-dynaTrace-JS-Agent: true
X-dynaTrace: PT=9148975;PA=-108882614;SP=prod;PS=170337423
X-Adobe-Loc: da1
Content-Type: text/html; charset=UTF-8
Vary: Accept-Encoding
Cache-Control: max-age=819
Expires: Tue, 01 Nov 2016 03:02:03 GMT
Date: Tue, 01 Nov 2016 02:48:24 GMT
Transfer-Encoding:  chunked
Connection: keep-alive
Connection: Transfer-Encoding

",2016-11-01T02:49:06.034502,,United States,,,Level 3 Communications
192.150.17.142,80,"HTTP/1.1 302 Found
Date: Mon, 31 Oct 2016 19:33:47 GMT
Server: Apache/2.2.15 (Red Hat)
Location: https://192.150.17.142/
Content-Length: 288
Connection: close
Content-Type: text/html; charset=iso-8859-1

",2016-10-31T19:33:49.927017,ags.adobe.com,United States,,,Level 3 Communications
192.150.16.39,80,"HTTP/1.1 403 Forbidden
Date: Mon, 31 Oct 2016 17:39:37 GMT
Server: Apache
Content-Length: 202
Content-Type: text/html; charset=iso-8859-1

",2016-10-31T17:39:41.288741,,United States,,Linux 2.6.x,Level 3 Communications
192.150.17.126,80,"HTTP/1.1 200 OK
Date: Mon, 31 Oct 2016 13:24:29 GMT
Server: Apache/2.2.21 (Unix) DAV/2
Last-Modified: Tue, 29 Oct 2013 11:32:32 GMT
ETag: ""6425b-637c-4e9df92851f86""
Accept-Ranges: bytes
Content-Length: 25468
Vary: Accept-Encoding
Content-Type: text/html; charset=UTF-8

",2016-10-31T13:24:31.072768,,United States,,,Level 3 Communications
